age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race,sex,priors_count,c_charge_degree,target
1,0,0,1,0,-0.299775609184471,0,1
0,0,1,0,1,-0.504885236521215,0,1
0,0,1,1,1,-0.709994863857959,0,-1
1,0,0,0,0,1.54621103684622,0,1
1,0,0,0,1,1.13599178217273,0,1
1,0,0,0,1,0.315553272825759,0,-1
1,0,0,1,1,-0.709994863857959,1,-1
1,0,0,0,1,-0.709994863857959,1,-1
0,1,0,1,1,-0.709994863857959,0,-1
0,0,1,0,1,-0.504885236521215,0,-1
0,0,1,0,1,-0.709994863857959,0,1
1,0,0,0,1,1.13599178217273,0,1
0,0,1,0,1,-0.709994863857959,0,-1
1,0,0,1,1,-0.504885236521215,1,1
0,0,1,1,1,-0.299775609184471,1,-1
1,0,0,0,1,-0.709994863857959,0,-1
1,0,0,0,1,0.110443645489016,0,1
1,0,0,0,1,-0.299775609184471,0,-1
1,0,0,0,1,-0.709994863857959,0,-1
0,1,0,0,1,-0.504885236521215,0,-1
1,0,0,1,1,-0.299775609184471,0,1
0,0,1,0,1,0.520662900162503,0,-1
0,0,1,0,1,-0.299775609184471,0,1
0,0,1,0,1,-0.504885236521215,0,-1
1,0,0,1,1,-0.709994863857959,0,-1
1,0,0,1,1,0.315553272825759,1,-1
0,0,1,0,1,-0.299775609184471,1,1
0,1,0,1,1,-0.299775609184471,0,-1
1,0,0,0,1,1.34110140950948,0,1
0,0,1,0,0,-0.504885236521215,1,1
1,0,0,0,0,0.725772527499247,0,1
1,0,0,0,1,-0.299775609184471,1,-1
1,0,0,0,1,1.34110140950948,0,1
0,0,1,1,0,-0.709994863857959,1,1
0,1,0,0,1,3.39219768287691,0,-1
1,0,0,1,1,-0.299775609184471,1,1
0,1,0,0,1,-0.504885236521215,0,-1
0,0,1,1,0,-0.504885236521215,1,-1
1,0,0,0,1,-0.299775609184471,1,-1
1,0,0,0,1,-0.504885236521215,0,-1
0,0,1,1,1,-0.094665981847728,1,-1
0,0,1,1,1,-0.504885236521215,1,-1
1,0,0,0,1,-0.299775609184471,0,1
1,0,0,0,1,-0.709994863857959,0,1
0,1,0,1,1,-0.094665981847728,1,-1
0,1,0,1,1,-0.094665981847728,0,-1
0,1,0,1,0,0.93088215483599,0,-1
1,0,0,0,1,3.18708805554017,1,1
1,0,0,1,0,-0.709994863857959,1,-1
1,0,0,0,1,0.315553272825759,0,1
1,0,0,0,1,-0.299775609184471,0,-1
1,0,0,0,1,-0.299775609184471,1,-1
1,0,0,0,1,-0.709994863857959,0,1
1,0,0,0,1,0.93088215483599,0,-1
0,1,0,0,1,0.520662900162503,0,-1
1,0,0,1,1,1.95643029151971,0,1
1,0,0,0,1,-0.709994863857959,0,-1
1,0,0,1,1,-0.709994863857959,0,-1
1,0,0,0,1,-0.299775609184471,0,-1
1,0,0,0,1,0.520662900162503,0,1
